,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2074,2641,永高股份,0.0451,0.0445,1.0696,0.1061,11.3315
2075,601933,永辉超市,0.0451,0.0803,1.5677,0.2119,21.4523
2076,603937,丽岛新材,0.0451,0.0387,0.5846,0.2383,23.8265
2077,600235,民丰特纸,0.0451,0.0325,3.9381,0.0773,8.9992
2078,300510,金冠股份,0.045,0.0111,0.259,0.0491,5.8044
2079,2878,元隆雅图,0.0449,0.0515,0.5061,0.1928,19.6095
2080,603660,苏州科达,0.0448,0.042,0.3025,0.1464,14.9135
2081,600370,三房巷,0.0448,0.0273,0.6778,0.1872,18.7176
2082,300125,易世达,0.0447,0.0036,,0.0084,2.7726
2083,300290,荣科科技,0.0446,0.0177,1.1819,0.0542,6.942
2084,603609,禾丰牧业,0.0446,0.1021,1.2229,0.273,27.7918
2085,2099,海翔药业,0.0445,0.0138,0.2999,0.0442,4.6997
2086,2652,扬子新材,0.0445,0.0418,0.8333,0.0647,8.6948
2087,2888,惠威科技,0.0444,0.0242,0.3482,0.2302,23.0168
2088,2157,正邦科技,0.0442,0.0549,1.6384,0.092,12.7597
2089,603588,高能环境,0.0441,0.017,0.4227,0.0291,3.3572
2090,300129,泰胜风能,0.0441,0.0218,0.4565,0.0731,7.5194
